Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
11.49,0,0.0855323790435572707396757971,0.0855323790435573,0.0855323790435573,0.0855323790435573,0.0855323790435573,0,0.0000000,0.0000000,0,9.039602356638440388685551687,68.374806838586762843622637185,71.90706238923387012433340257,974797700
11.50,0,0.0855075344393875395935033612,0.0855075344393876,0.0855075344393876,0.0855075344393876,0.0855075344393876,0,0.0000000,0.0000000,0,9.036291542201667348560278184,68.366232171120181986351161711,71.901406067641725373783031952,975646100
11.51,0,0.0854827358797537779129061476,0.0854827358797538,0.0854827358797538,0.0854827358797538,0.0854827358797538,0,0.0000000,0.0000000,0,9.032982344255322084835205232,68.357665167706779588418605204,71.895756046873943727282053444,976494500
11.52,0,0.0854579990778662732292281081,0.0854579990778663,0.0854579990778663,0.0854579990778663,0.0854579990778663,0,0.0000000,0.0000000,0,9.029674858995678190646292284,68.349103558455569644859614601,71.890110838034112185142560357,977343000
11.53,0,0.0854333154705578886235175660,0.0854333154705579,0.0854333154705579,0.0854333154705579,0.0854333154705579,0,0.0000000,0.0000000,0,9.026369362880905935172521598,68.340527278282757277483040055,71.8844574716599007907656298,978191300
11.54,0,0.0854086715094910255908530490,0.085408671509491,0.085408671509491,0.085408671509491,0.085408671509491,0,0.0000000,0.0000000,0,9.023065688655227559463807026,68.331980621583201673838304599,71.878824416265432073279350775,979039700
11.55,0,0.0853840895882472829895214736,0.0853840895882473,0.0853840895882473,0.0853840895882473,0.0853840895882473,0,0.0000000,0.0000000,0,9.019763627471456684785176427,68.323434627692808979070216822,71.873193189745572544586140757,979888100
11.56,0,0.0853595528864411600236425855,0.0853595528864412,0.0853595528864412,0.0853595528864412,0.0853595528864412,0,0.0000000,0.0000000,0,9.016463358603575904272589253,68.314896689850536585674646765,71.867568465785960474501677891,980736500
11.57,0,0.0853350718653781559202807696,0.0853350718653782,0.0853350718653782,0.0853350718653782,0.0853350718653782,0,0.0000000,0.0000000,0,9.013165168707097135018982161,68.306367123967493066793067609,71.861950337726519761372781758,981584800
11.58,0,0.0853106363358867958320071249,0.0853106363358868,0.0853106363358868,0.0853106363358868,0.0853106363358868,0,0.0000000,0.0000000,0,9.009868523397963294117291804,68.2978375089547519241806141,71.856333620225747601923495875,982433200
11.59,0,0.0852862533120453562641486781,0.0852862533120454,0.0852862533120454,0.0852862533120454,0.0852862533120454,0,0.0000000,0.0000000,0,9.006574224328084002832546041,68.289322757197598614358741938,71.85072756259695733063286318,983281700
11.60,0,0.0852619234960387280217277709,0.0852619234960387,0.0852619234960387,0.0852619234960387,0.0852619234960387,0,0.0000000,0.0000000,0,9.003281412299433178257681523,68.280809743636025220707103177,71.845124091764209981337703859,984130000
11.61,0,0.0852376421293758559526826704,0.0852376421293759,0.0852376421293759,0.0852376421293759,0.0852376421293759,0,0.0000000,0.0000000,0,8.999990130672822089571680509,68.272301415252292052409620497,71.839525084322175644336161409,984978400
11.62,0,0.0852134107968443646257262543,0.0852134107968444,0.0852134107968444,0.0852134107968444,0.0852134107968444,0,0.0000000,0.0000000,0,8.996701405027826301781434052,68.2638003211751585673317419,71.833931772036368319595188388,985826800
11.63,0,0.0851892324839353228678612270,0.0851892324839353,0.0851892324839353,0.0851892324839353,0.0851892324839353,0,0.0000000,0.0000000,0,8.993414004195012788238015607,68.255307277839842301582495313,71.828345170300749144247947326,986675200
11.64,0,0.0851651072984303596201158355,0.0851651072984304,0.0851651072984304,0.0851651072984304,0.0851651072984304,0,0.0000000,0.0000000,0,8.99012851140297411394831623,68.246815108257364039929471404,71.822760448839052310867421416,987523600
11.65,0,0.0851410194959718940907324523,0.0851410194959719,0.0851410194959719,0.0851410194959719,0.0851410194959719,0,0.0000000,0.0000000,0,8.986845364574687548091318176,68.238316987226145158592472953,71.81717305935108485766047326,988371900
11.66,0,0.0851169905591056493205138602,0.0851169905591056,0.0851169905591056,0.0851169905591056,0.0851169905591056,0,0.0000000,0.0000000,0,8.9835637463110253598460037,68.229840222658232944591441478,71.811600843872691477442887488,989220400
11.67,0,0.0850930148425818634929062856,0.0850930148425819,0.0850930148425819,0.0850930148425819,0.0850930148425819,0,0.0000000,0.0000000,0,8.980284316283981466305309458,68.221368178717962975149741365,71.806032874228888231194971785,990068700
11.68,0,0.0850690784508622227584507841,0.0850690784508622,0.0850690784508622,0.0850690784508622,0.0850690784508622,0,0.0000000,0.0000000,0,8.977006710416499460605194905,68.212906248113588222066171542,71.800472757671250183209679064,990917100
11.69,0,0.0850451994647509726234660255,0.085045199464751,0.085045199464751,0.085045199464751,0.085045199464751,0,0.0000000,0.0000000,0,8.973730643377736287967665094,68.204443402072912783023762997,71.794913538442825937918439868,991765400
11.70,0,0.0850213713854985515284823602,0.0850213713854986,0.0850213713854986,0.0850213713854986,0.0850213713854986,0,0.0000000,0.0000000,0,8.970457058409809217571702286,68.19599327370235222369197855,71.789363586624330715326753914,992613900
11.71,0,0.0849975827234688758687420470,0.0849975827234689,0.0849975827234689,0.0849975827234689,0.0849975827234689,0,0.0000000,0.0000000,0,8.967185058544898462338151928,68.187545560861130927042404767,71.783816656954539719431790591,993462300
11.72,0,0.0849738498584758963019203659,0.0849738498584759,0.0849738498584759,0.0849738498584759,0.0849738498584759,0,0.0000000,0.0000000,0,8.963914920954137671661110281,68.179102551910616818690682455,71.778274109697915062788149692,994310700
11.73,0,0.0849501655281435359464710539,0.0849501655281436,0.0849501655281436,0.0849501655281436,0.0849501655281436,0,0.0000000,0.0000000,0,8.9606471745029550865904912,68.170670596941143379864393657,71.772739808857912040537989866,995159000
